Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
58,296,321,52.25,46.58000183105469,-328.8598937988281,-0.1085167113673744,2014-03-07,2014-04-11,35 days
63,181,323,47.43999862670898,47.41999816894531,-1.2600288391108805,-0.000421594821725102,2013-09-20,2014-04-15,207 days
67,145,323,44.84000015258789,47.41999816894531,172.85986709594727,0.05753786814401973,2013-07-31,2014-04-15,258 days
54,422,450,55.4900016784668,52.33000183105469,-170.6399917602539,-0.05694719322090713,2014-09-05,2014-10-15,40 days
48,574,665,62.09999847412109,55.21998596191406,-330.24060058593716,-0.11078925412653806,2015-04-15,2015-08-24,131 days
56,345,707,52.650001525878906,49.439990997314446,-179.76058959960977,-0.06096885917442285,2014-05-16,2015-10-22,524 days
46,889,964,63.70000076293945,57.54999923706055,-282.9000701904297,-0.09654633362982579,2016-07-14,2016-10-28,106 days
30,1357,1359,105.8499984741211,100.53000640869148,-159.5997619628885,-0.0502597273700508,2018-05-23,2018-05-25,2 days
39,1179,1360,77.29000091552734,100.2699966430664,896.2198333740234,0.297321716332422,2017-09-07,2018-05-29,264 days
46,1053,1360,64.13999938964844,100.2699966430664,1661.9798736572266,0.5632989959031554,2017-03-09,2018-05-29,446 days
47,1000,1360,62.34000015258789,100.2699966430664,1782.7098350524902,0.6084375424709387,2016-12-20,2018-05-29,525 days
53,808,1360,55.59000015258789,100.2699966430664,2368.0398139953613,0.8037416148198826,2016-03-18,2018-05-29,802 days
32,1421,1431,97.69000244140624,91.68998718261712,-192.00048828125182,-0.06141892833289553,2018-08-23,2018-09-07,15 days
37,1576,1599,83.69999694824219,75.89998626708984,-288.6003952026367,-0.09319009516781296,2019-04-08,2019-05-10,32 days
33,1796,1800,93.95999908447266,85.22998809814453,-288.0903625488281,-0.0929119952255385,2020-02-21,2020-02-27,6 days
44,1690,1814,71.4000015258789,66.21998596191406,-227.92068481445312,-0.07254923604010499,2019-09-19,2020-03-18,181 days
20,2887,2959,171.1300048828125,195.1000061035156,479.40002441406193,0.14006895656385576,2024-06-24,2024-10-04,102 days
21,2759,2959,153.0,195.1000061035156,884.1001281738276,0.2751634385850692,2023-12-18,2024-10-04,291 days
22,2662,2959,150.0,195.1000061035156,992.2001342773431,0.3006667073567706,2023-08-01,2024-10-04,430 days
27,2230,2959,116.23999786376952,195.1000061035156,2129.220222473144,0.6784240338008962,2021-11-09,2024-10-04,1060 days
28,2088,2959,108.12000274658205,195.1000061035156,2435.4400939941393,0.8044765181961968,2021-04-20,2024-10-04,1263 days
28,2064,2959,109.9499969482422,195.1000061035156,2384.200256347655,0.7744430333668573,2021-03-16,2024-10-04,1298 days
29,2056,2959,106.5,195.1000061035156,2569.400177001952,0.8319249399391135,2021-03-04,2024-10-04,1310 days
31,1984,2959,99.37000274658205,195.1000061035156,2967.63010406494,0.9633692332792685,2020-11-17,2024-10-04,1417 days
