Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
116,141,176,26.0,23.299999237060547,-313.20008850097656,-0.10384618318997896,2002-02-14,2002-04-08,53 days
122,837,941,25.88999938964844,21.989997863769513,-475.8001861572292,-0.15063737419160617,2004-11-18,2005-04-20,153 days
136,664,962,23.200000762939453,22.39999961853028,-108.80015563964747,-0.03448280681469307,2004-03-15,2005-05-19,430 days
140,564,962,21.89999961853028,22.39999961853028,70.0,0.022831050625997884,2003-10-20,2005-05-19,577 days
179,447,962,16.56999969482422,22.39999961853028,1043.5699863433852,0.3518406777959755,2003-05-05,2005-05-19,745 days
190,426,962,15.699999809265137,22.39999961853028,1272.9999637603773,0.4267515853924553,2003-04-03,2005-05-19,777 days
182,373,962,16.469999313354492,22.39999961853028,1079.2600555419936,0.3600486067031905,2003-01-16,2005-05-19,854 days
105,1288,1290,29.75,28.32000160217285,-150.1498317718506,-0.04806717303620667,2006-09-05,2006-09-07,2 days
120,1044,1291,25.100000381469727,28.309999465942383,385.19989013671875,0.12788840779629873,2005-09-15,2006-09-08,358 days
125,1005,1291,24.450000762939453,28.309999465942383,482.4998378753662,0.1578731526607473,2005-07-21,2006-09-08,414 days
135,965,1291,22.530000686645508,28.309999465942383,780.2998352050781,0.2565467644536259,2005-05-24,2006-09-08,472 days
74,1567,1585,41.40999984741211,34.36000061035156,-521.6999435424805,-0.17024871439358702,2007-10-15,2007-11-08,24 days
80,1432,1585,38.7400016784668,35.39999771118164,-267.2003173828125,-0.08621589629774484,2007-04-03,2007-11-08,219 days
76,1726,1813,40.709999084472656,33.95999526977539,-513.0002899169922,-0.16580702447796936,2008-06-03,2008-10-06,125 days
74,2173,2211,42.290000915527344,39.99999237060547,-169.46063232421875,-0.054150118121209734,2010-03-12,2010-05-06,55 days
73,2134,2211,42.720001220703125,39.090003967285156,-264.9897994995117,-0.08497184339168007,2010-01-14,2010-05-06,112 days
78,2095,2221,39.83000183105469,37.820007324218786,-156.77957153320034,-0.050464333779386084,2009-11-17,2010-05-20,184 days
85,2057,2274,36.369998931884766,40.16999816894531,322.9999351501465,0.10448169779101013,2009-09-24,2010-08-05,315 days
102,1960,2274,30.489999771118164,40.16999816894531,987.3598365783691,0.3174810911935979,2009-05-07,2010-08-05,455 days
52,2504,2526,60.59000015258789,57.019996643066406,-185.6401824951172,-0.05892067173677018,2011-07-05,2011-08-04,30 days
57,2442,2536,54.91999816894531,51.269989013671875,-208.05052185058594,-0.06646047481730155,2011-04-05,2011-08-18,135 days
67,2367,2595,46.47999954223633,57.54999923706055,741.6899795532227,0.2381669493082701,2010-12-16,2011-11-10,329 days
74,2307,2595,41.58000183105469,57.54999923706055,1181.7798080444336,0.3840788047796191,2010-09-22,2011-11-10,414 days
40,3171,3330,83.30999755859375,74.19999694824219,-364.4000244140625,-0.10935062870388756,2014-02-28,2014-10-15,229 days
40,3346,5206,82.19000244140625,339.0,10272.39990234375,3.1245892435844027,2014-11-06,2022-03-29,2700 days
40,3131,5206,81.68000030517578,339.0,10292.799987792969,3.1503427856686566,2013-12-31,2022-03-29,3010 days
44,3093,5206,72.79000091552734,339.0,11713.239959716797,3.6572330778427773,2013-11-05,2022-03-29,3066 days
43,3054,5206,74.76000213623047,339.0,11362.31990814209,3.5345103038154218,2013-09-11,2022-03-29,3121 days
43,2954,5206,75.0199966430664,339.0,11351.140144348145,3.51879519020655,2013-04-19,2022-03-29,3266 days
45,2894,5206,70.55000305175781,339.0,12080.249862670898,3.8051025561444467,2013-01-23,2022-03-29,3352 days
52,2776,5206,60.43999862670898,339.0,14485.120071411133,4.608868426581878,2012-08-01,2022-03-29,3527 days
52,2756,5206,60.41999816894531,339.0,14486.160095214844,4.610725095556844,2012-07-03,2022-03-29,3556 days
55,2647,5206,56.84999847412109,339.0,15518.25008392334,4.963060846066997,2012-01-27,2022-03-29,3714 days
56,2620,5206,54.5099983215332,339.0,15931.44009399414,5.219042569041579,2011-12-16,2022-03-29,3756 days
20,5207,5234,336.57000732421875,289.0899658203128,-949.6008300781193,-0.14107032852207868,2022-03-30,2022-05-09,40 days
22,5291,5316,302.5299987792969,282.0600280761719,-450.33935546875,-0.06766261456953349,2022-08-01,2022-09-06,36 days
24,5412,5444,276.7099914550781,252.13998413085938,-589.68017578125,-0.08879335073886374,2023-01-24,2023-03-10,45 days
24,5461,5482,284.44000244140625,269.3400573730469,-362.398681640625,-0.05308657340301459,2023-04-04,2023-05-04,30 days
21,5533,5553,323.0,305.54998779296875,-366.45025634765625,-0.05402480559452394,2023-07-19,2023-08-16,28 days
24,5497,5554,288.510009765625,308.3399963378906,475.919677734375,0.06873240407975723,2023-05-25,2023-08-17,84 days
21,5567,5583,324.25,301.75,-472.5,-0.06939090208172705,2023-09-06,2023-09-28,22 days
21,5617,5728,319.6199951171875,309.4100036621094,-214.40982055664062,-0.031944157471545775,2023-11-15,2024-04-26,163 days
20,5814,5839,340.25,364.2000122070313,479.00024414062614,0.07038945542110597,2024-08-29,2024-10-04,36 days
22,5773,5839,300.92999267578125,364.2000122070313,1391.9404296875014,0.2102483005056146,2024-07-02,2024-10-04,94 days
