Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
61,358,392,16.39107322692871,14.945646286010742,-88.1710433959961,-0.0881837888774295,1991-06-03,1991-07-22,49 days
64,431,438,15.494912147521973,14.801112174987802,-44.40319824218693,-0.04477598620300194,1991-09-16,1991-09-25,9 days
49,681,883,20.23589324951172,18.096675872802752,-104.82165145873937,-0.10571400779456996,1992-09-10,1993-06-29,292 days
55,508,884,17.865402221679688,18.03885269165039,9.539775848388672,0.00970873579102638,1992-01-06,1993-06-30,541 days
49,979,1099,19.94680976867676,18.906112670898438,-50.994157791137866,-0.05217361121138131,1993-11-12,1994-05-06,175 days
39,1564,1659,25.555042266845703,24.398702621459943,-45.09724617004464,-0.04524898191563387,1996-03-08,1996-07-24,138 days
25,2099,2144,40.93431854248047,36.13551712036133,-119.97003555297852,-0.11723174082253451,1998-04-22,1998-06-25,64 days
26,2023,2145,37.98566055297852,36.82932662963867,-30.064682006836122,-0.03044132724050208,1997-12-31,1998-06-26,177 days
29,1867,2145,34.632286071777344,36.82932662963867,63.714176177978516,0.06343908552002131,1997-05-20,1998-06-26,402 days
37,1695,2145,26.53792762756348,36.82932662963867,380.7817630767821,0.38779964835634284,1996-09-13,1998-06-26,651 days
37,1489,2145,26.82701110839844,36.82932662963867,370.08567428588856,0.3728449464915946,1995-11-20,1998-06-26,949 days
48,1287,2145,20.64061164855957,36.82932662963867,777.0583190917969,0.7843137236782831,1995-02-02,1998-06-26,1240 days
51,916,2145,19.1951904296875,36.82932662963867,899.3409461975098,0.9186747203444263,1993-08-16,1998-06-26,1775 days
29,2346,2411,34.69010162353516,33.996299743652344,-20.12025451660177,-0.019999995601399978,1999-04-15,1999-07-19,95 days
30,2290,2411,33.071231842041016,33.996299743652344,27.752037048339844,0.027971981994192152,1999-01-25,1999-07-19,175 days
34,2509,2556,29.37095260620117,25.95975875854492,-115.9805908203125,-0.11614175043597452,1999-12-06,2000-02-11,67 days
25,3287,3312,40.33302688598633,36.068458557128906,-106.61420822143555,-0.10573390241482572,2003-01-13,2003-02-19,37 days
22,3516,3579,46.96577072143555,43.70952987670898,-71.63729858398453,-0.0693322135399429,2003-12-09,2004-03-11,93 days
24,3425,3580,43.0897331237793,43.67252349853516,13.986968994140796,0.01352504024756307,2003-07-31,2004-03-12,225 days
