Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
115,105,161,17.2972412109375,16.61789321899414,-78.12501907348633,-0.03927493313290853,1990-06-01,1990-08-21,81 days
106,439,480,18.708194732666016,17.898200988769496,-85.85933685303111,-0.04329620016634772,1991-09-26,1991-11-22,57 days
100,508,528,19.70108795166016,18.9433536529541,-75.77342987060582,-0.03846154590879869,1992-01-06,1992-02-03,28 days
107,355,529,18.708194732666016,19.10012435913086,41.93647003173828,0.020949622989571592,1991-05-29,1992-02-04,251 days
105,282,529,18.81270980834961,19.10012435913086,30.17852783203125,0.015277679489516638,1991-02-12,1992-02-04,357 days
88,930,943,22.522993087768555,21.63461494445799,-78.17727661132969,-0.03944316547310989,1993-09-03,1993-09-23,20 days
89,790,944,22.28783416748047,21.634614944458008,-58.13651084899902,-0.029308331088336748,1993-02-16,1993-09-24,220 days
93,718,944,21.50397109985352,21.634614944458008,12.149877548217443,0.006075335759978762,1992-11-02,1993-09-24,326 days
102,588,944,19.43979835510254,21.634614944458008,223.8712921142578,0.11290325903917497,1992-04-29,1993-09-24,513 days
90,979,1054,22.26170539855957,21.477842330932617,-70.54767608642578,-0.035211276656175294,1993-11-12,1994-03-02,110 days
90,1035,1086,22.26170539855957,20.17140388488768,-188.12713623047003,-0.09389673774980156,1994-02-02,1994-04-18,75 days
88,1160,1238,22.41847801208496,21.425584793090824,-87.37460327148406,-0.04428905559328811,1994-08-03,1994-11-22,111 days
54,1863,2014,38.72282409667969,35.37832260131837,-180.60308074951132,-0.08637028867034768,1997-05-14,1997-12-17,217 days
51,1970,2016,40.96989822387695,35.2215690612793,-293.16478729248047,-0.1403061616405865,1997-10-15,1997-12-19,65 days
71,1686,2017,28.37583541870117,35.32608795166016,493.46792984008863,0.24493560913376355,1996-08-30,1997-12-22,479 days
74,1608,2017,27.22617149353028,35.32608795166016,599.3938179016113,0.29750479093451143,1996-05-10,1997-12-22,591 days
72,1552,2017,27.59197235107422,35.32608795166016,556.856323242188,0.28030310780899415,1996-02-21,1997-12-22,670 days
83,1457,2017,23.93394660949707,35.32608795166016,945.5477313995367,0.4759825668551736,1995-10-05,1997-12-22,809 days
87,1303,2017,22.732023239135746,35.32608795166016,1095.6836299896243,0.5540230440571745,1995-02-27,1997-12-22,1029 days
55,2058,2136,36.86768341064453,33.627716064453125,-178.19820404052734,-0.0878809582393223,1998-02-23,1998-06-15,112 days
