Date,Open,High,Low,Close,Adj Close,Volume,SP500_Close
1990-01-02,3.9375,4.125,3.8125,4.125,4.125,2544000,359.69000244140625
1990-01-03,4.0625,4.125,3.9375,4.0,4.0,686800,358.760009765625
1990-01-04,4.0,4.0625,3.875,3.9375,3.9375,944200,355.6700134277344
1990-01-05,3.8125,3.8125,3.6875,3.8125,3.8125,1511000,352.20001220703125
1990-01-08,3.8125,3.8125,3.75,3.8125,3.8125,477000,353.7900085449219
1990-01-09,3.8125,3.875,3.75,3.875,3.875,1075000,349.6199951171875
1990-01-10,3.8125,3.875,3.8125,3.8125,3.8125,1191600,347.30999755859375
1990-01-11,3.8125,3.875,3.8125,3.875,3.875,395400,348.5299987792969
1990-01-12,3.75,3.8125,3.6875,3.75,3.75,832600,339.92999267578125
1990-01-15,3.6875,3.75,3.625,3.625,3.625,439600,337.0
1990-01-16,3.625,3.9375,3.5625,3.9375,3.9375,935800,340.75
1990-01-17,3.8125,3.875,3.75,3.8125,3.8125,930000,337.3999938964844
1990-01-18,3.75,3.875,3.75,3.8125,3.8125,501400,338.19000244140625
1990-01-19,3.8125,3.875,3.75,3.75,3.75,324800,339.1499938964844
1990-01-22,3.75,3.875,3.75,3.75,3.75,345600,330.3800048828125
1990-01-23,3.75,3.875,3.6875,3.6875,3.6875,283400,331.6099853515625
1990-01-24,3.625,3.875,3.5625,3.8125,3.8125,617800,330.260009765625
1990-01-25,3.8125,3.875,3.75,3.8125,3.8125,394000,326.0799865722656
1990-01-26,3.75,3.875,3.6875,3.6875,3.6875,612000,325.79998779296875
1990-01-29,3.6875,3.75,3.6875,3.6875,3.6875,171200,325.20001220703125
1990-01-30,3.75,3.75,3.5625,3.625,3.625,313000,322.9800109863281
1990-01-31,3.625,3.75,3.625,3.625,3.625,844200,329.0799865722656
1990-02-01,3.625,3.6875,3.5625,3.625,3.625,696600,328.7900085449219
1990-02-02,3.625,3.625,3.5,3.5,3.5,475600,330.9200134277344
1990-02-05,3.5,3.5625,3.4375,3.5625,3.5625,313400,331.8500061035156
1990-02-06,3.5,3.625,3.4375,3.5,3.5,561800,329.6600036621094
1990-02-07,3.5,3.6875,3.4375,3.6875,3.6875,590200,333.75
1990-02-08,3.625,3.6875,3.625,3.6875,3.6875,514800,332.9599914550781
1990-02-09,3.625,3.6875,3.625,3.625,3.625,135600,333.6199951171875
1990-02-12,3.625,3.6875,3.5,3.5,3.5,333000,330.0799865722656
1990-02-13,3.5,3.625,3.5,3.5625,3.5625,152600,331.0199890136719
1990-02-14,3.5625,3.625,3.5625,3.5625,3.5625,84200,332.010009765625
1990-02-15,3.5625,3.625,3.5625,3.5625,3.5625,99800,334.8900146484375
1990-02-16,3.5625,3.625,3.5625,3.625,3.625,213000,332.7200012207031
1990-02-20,3.5625,3.625,3.5625,3.5625,3.5625,305800,327.989990234375
1990-02-21,3.5625,3.75,3.5,3.75,3.75,874800,327.6700134277344
1990-02-22,3.75,3.9375,3.75,3.875,3.875,1695000,325.70001220703125
1990-02-23,3.875,3.9375,3.8125,3.875,3.875,651600,324.1499938964844
1990-02-26,3.875,4.125,3.875,4.0625,4.0625,1289400,328.6700134277344
1990-02-27,4.25,4.375,4.1875,4.3125,4.3125,2304400,330.260009765625
1990-02-28,4.3125,4.375,4.125,4.125,4.125,1223600,331.8900146484375
1990-03-01,4.125,4.375,4.125,4.375,4.375,820600,332.739990234375
1990-03-02,4.375,4.5625,4.375,4.5,4.5,1771000,335.5400085449219
1990-03-05,4.5,4.625,4.375,4.625,4.625,1325000,333.739990234375
1990-03-06,4.6875,4.6875,4.5625,4.5625,4.5625,1185000,337.92999267578125
1990-03-07,4.625,4.6875,4.5,4.5,4.5,506000,336.95001220703125
1990-03-08,4.5,4.5625,4.4375,4.5,4.5,268400,340.2699890136719
1990-03-09,4.4375,4.5625,4.4375,4.5,4.5,282000,337.92999267578125
1990-03-12,4.4375,4.5,4.4375,4.4375,4.4375,532600,338.6700134277344
1990-03-13,4.4375,4.5,4.375,4.4375,4.4375,866600,336.0
1990-03-14,4.4375,4.5625,4.4375,4.5625,4.5625,731600,336.8699951171875
1990-03-15,4.5625,4.5625,4.4375,4.5,4.5,518000,338.07000732421875
1990-03-16,4.5625,4.6875,4.5,4.625,4.625,1199600,341.9100036621094
1990-03-19,4.625,4.875,4.5625,4.8125,4.8125,1644600,343.5299987792969
1990-03-20,4.875,4.875,4.5,4.5,4.5,1515600,341.57000732421875
1990-03-21,4.625,4.875,4.625,4.75,4.75,2375000,339.739990234375
1990-03-22,4.6875,4.875,4.625,4.8125,4.8125,1576200,335.69000244140625
1990-03-23,4.9375,5.0625,4.9375,4.9375,4.9375,1940200,337.2200012207031
1990-03-26,5.0,5.0,4.8125,4.8125,4.8125,595000,337.6300048828125
1990-03-27,4.8125,4.9375,4.75,4.875,4.875,770800,341.5
1990-03-28,4.8125,4.8125,4.75,4.75,4.75,391200,342.0
1990-03-29,4.75,4.8125,4.625,4.6875,4.6875,285200,340.7900085449219
1990-03-30,4.625,4.625,4.5,4.5625,4.5625,1195400,339.94000244140625
1990-04-02,4.4375,4.6875,4.4375,4.6875,4.6875,1291600,338.70001220703125
1990-04-03,4.6875,4.75,4.625,4.625,4.625,764800,343.6400146484375
1990-04-04,4.5625,4.6875,4.5625,4.5625,4.5625,367400,341.0899963378906
1990-04-05,4.5625,4.625,4.5,4.5,4.5,276400,340.7300109863281
1990-04-06,4.5625,4.625,4.4375,4.4375,4.4375,453400,340.0799865722656
1990-04-09,4.5,4.5625,4.1875,4.25,4.25,767400,341.3699951171875
1990-04-10,4.25,4.375,4.1875,4.375,4.375,564600,342.07000732421875
1990-04-11,4.375,4.5,4.375,4.4375,4.4375,390400,341.9200134277344
1990-04-12,4.4375,4.5,4.375,4.4375,4.4375,383600,344.3399963378906
1990-04-16,4.4375,4.4375,4.125,4.3125,4.3125,1500400,344.739990234375
1990-04-17,4.3125,4.5,4.25,4.4375,4.4375,797000,344.67999267578125
1990-04-18,4.5,4.5,4.375,4.375,4.375,485200,340.7200012207031
1990-04-19,4.4375,4.4375,4.3125,4.3125,4.3125,332000,338.0899963378906
1990-04-20,4.3125,4.375,4.25,4.3125,4.3125,564000,335.1199951171875
1990-04-23,4.3125,4.3125,4.125,4.1875,4.1875,325200,331.04998779296875
1990-04-24,4.25,4.25,4.0625,4.1875,4.1875,1629000,330.3599853515625
1990-04-25,4.125,4.25,4.0625,4.1875,4.1875,383400,332.0299987792969
1990-04-26,4.1875,4.3125,4.1875,4.3125,4.3125,445000,332.9200134277344
1990-04-27,4.3125,4.375,4.25,4.3125,4.3125,205600,329.1099853515625
1990-04-30,4.25,4.375,4.25,4.375,4.375,230200,330.79998779296875
1990-05-01,4.375,4.4375,4.3125,4.375,4.375,730000,332.25
1990-05-02,4.3125,4.375,4.3125,4.3125,4.3125,113400,334.4800109863281
1990-05-03,4.375,4.4375,4.25,4.3125,4.3125,365000,335.57000732421875
1990-05-04,4.25,4.3125,4.125,4.1875,4.1875,390200,338.3900146484375
1990-05-07,4.1875,4.375,4.1875,4.3125,4.3125,863800,340.5299987792969
1990-05-08,4.375,4.5,4.3125,4.5,4.5,1053200,342.010009765625
1990-05-09,4.5,4.5625,4.4375,4.5,4.5,461000,342.8599853515625
1990-05-10,4.5625,4.625,4.4375,4.5625,4.5625,1711400,343.82000732421875
1990-05-11,4.5,4.75,4.5,4.75,4.75,2194800,352.0
1990-05-14,4.75,5.0,4.6875,4.9375,4.9375,2734600,354.75
1990-05-15,4.9375,5.1875,4.875,5.0625,5.0625,2955400,354.2799987792969
1990-05-16,5.0625,5.3125,4.9375,5.0,5.0,3724200,354.0
1990-05-17,5.0625,5.25,5.0,5.25,5.25,1432000,354.4700012207031
1990-05-18,5.25,5.25,5.0625,5.1875,5.1875,615200,354.6400146484375
1990-05-21,5.25,5.5,5.125,5.375,5.375,3713600,358.0
1990-05-22,5.5,5.5625,5.3125,5.375,5.375,1709800,358.42999267578125
1990-05-23,5.3125,5.625,5.3125,5.5625,5.5625,2368600,359.2900085449219
1990-05-24,5.5,5.5625,5.375,5.4375,5.4375,1427800,358.4100036621094
1990-05-25,5.375,5.375,5.0,5.375,5.375,1856200,354.5799865722656
1990-05-29,5.3125,5.5625,5.25,5.5,5.5,1052000,360.6499938964844
1990-05-30,5.625,5.6875,5.375,5.375,5.375,1559800,360.8599853515625
1990-05-31,5.3125,5.375,5.25,5.25,5.25,1009800,361.2300109863281
1990-06-01,5.3125,5.375,5.1875,5.25,5.25,1158000,363.1600036621094
1990-06-04,5.1875,5.375,5.1875,5.375,5.375,689200,367.3999938964844
1990-06-05,5.1875,5.25,5.0,5.0625,5.0625,2936400,366.6400146484375
1990-06-06,5.125,5.1875,5.0625,5.125,5.125,591200,364.9599914550781
1990-06-07,5.125,5.1875,4.875,4.875,4.875,2536800,363.1499938964844
1990-06-08,4.875,4.9375,4.75,4.8125,4.8125,937000,358.7099914550781
1990-06-11,4.8125,4.9375,4.8125,4.875,4.875,671600,361.6300048828125
1990-06-12,4.9375,5.0,4.75,4.9375,4.9375,4471000,366.25
1990-06-13,5.0,5.0,4.875,4.9375,4.9375,1418800,364.8999938964844
1990-06-14,4.9375,4.9375,4.6875,4.6875,4.6875,1289400,362.8999938964844
1990-06-15,4.625,4.75,4.625,4.6875,4.6875,824400,362.9100036621094
1990-06-18,4.6875,4.6875,4.5625,4.625,4.625,995200,356.8800048828125
1990-06-19,4.5625,4.6875,4.5,4.625,4.625,435600,358.4700012207031
1990-06-20,4.625,4.625,4.4375,4.5625,4.5625,1040400,359.1000061035156
1990-06-21,4.5625,4.625,4.5,4.625,4.625,371400,360.4700012207031
1990-06-22,4.6875,4.75,4.5,4.5,4.5,664200,355.42999267578125
1990-06-25,4.5625,4.625,4.4375,4.5,4.5,291600,352.30999755859375
1990-06-26,4.5625,4.5625,4.4375,4.5,4.5,331000,352.05999755859375
1990-06-27,4.4375,4.5625,4.4375,4.5625,4.5625,432600,355.1400146484375
1990-06-28,4.5625,4.6875,4.5,4.6875,4.6875,1693400,357.6300048828125
1990-06-29,4.6875,4.75,4.625,4.75,4.75,570600,358.0199890136719
1990-07-02,4.75,4.875,4.6875,4.875,4.875,1623600,359.5400085449219
1990-07-03,4.875,4.875,4.75,4.75,4.75,403400,360.1600036621094
1990-07-05,4.75,4.75,4.625,4.75,4.75,306600,355.67999267578125
1990-07-06,4.6875,4.8125,4.625,4.8125,4.8125,297000,358.4200134277344
1990-07-09,4.75,4.8125,4.625,4.6875,4.6875,492600,359.5199890136719
1990-07-10,4.6875,4.6875,4.5,4.5,4.5,284600,356.489990234375
1990-07-11,4.5,4.6875,4.5,4.6875,4.6875,575600,361.2300109863281
1990-07-12,4.625,4.6875,4.625,4.6875,4.6875,505200,365.44000244140625
1990-07-13,4.625,4.8125,4.625,4.8125,4.8125,2050200,367.30999755859375
1990-07-16,4.8125,4.8125,4.75,4.8125,4.8125,411000,368.95001220703125
1990-07-17,4.75,4.8125,4.625,4.6875,4.6875,295600,367.5199890136719
1990-07-18,4.625,4.6875,4.5625,4.5625,4.5625,356200,364.2200012207031
1990-07-19,4.625,4.625,4.375,4.5,4.5,770000,365.32000732421875
1990-07-20,4.5,4.5,3.5625,3.625,3.625,2850800,361.6099853515625
1990-07-23,3.5625,3.625,3.4375,3.5625,3.5625,1412000,355.30999755859375
1990-07-24,3.5,3.5625,3.375,3.5625,3.5625,2124000,355.7900085449219
1990-07-25,3.5,3.625,3.5,3.625,3.625,584600,357.0899963378906
1990-07-26,3.5625,3.6875,3.5625,3.625,3.625,1057400,355.9100036621094
1990-07-27,3.5625,3.625,3.5,3.5625,3.5625,365800,353.44000244140625
1990-07-30,3.5625,3.5625,3.5,3.5625,3.5625,356000,355.54998779296875
1990-07-31,3.5625,3.5625,3.4375,3.5,3.5,392400,356.1499938964844
1990-08-01,3.4375,3.5,3.4375,3.4375,3.4375,836000,355.5199890136719
1990-08-02,3.3125,3.375,3.125,3.1875,3.1875,1540200,351.4800109863281
1990-08-03,3.125,3.125,2.8125,3.0625,3.0625,1366600,344.8599853515625
1990-08-06,2.875,2.9375,2.75,2.8125,2.8125,1012200,334.42999267578125
1990-08-07,2.875,2.9375,2.4375,2.6875,2.6875,2224800,334.8299865722656
1990-08-08,2.75,2.875,2.625,2.8125,2.8125,1670800,338.3500061035156
1990-08-09,2.75,2.875,2.75,2.8125,2.8125,1351400,339.94000244140625
1990-08-10,2.75,2.8125,2.6875,2.75,2.75,998800,335.5199890136719
1990-08-13,2.75,2.9375,2.75,2.875,2.875,1992200,338.8399963378906
1990-08-14,2.875,3.0625,2.875,3.0,3.0,3057800,339.3900146484375
1990-08-15,3.0,3.0625,3.0,3.0,3.0,1474400,340.05999755859375
1990-08-16,3.0,3.125,2.875,2.9375,2.9375,918200,332.3900146484375
1990-08-17,2.8125,2.9375,2.75,2.875,2.875,1188200,327.8299865722656
1990-08-20,2.9375,2.9375,2.75,2.875,2.875,498800,328.510009765625
1990-08-21,2.75,2.8125,2.6875,2.75,2.75,485800,321.8599853515625
1990-08-22,2.8125,2.875,2.75,2.8125,2.8125,1202600,316.54998779296875
1990-08-23,2.6875,2.8125,2.625,2.75,2.75,613400,307.05999755859375
1990-08-24,2.6875,2.8125,2.6875,2.75,2.75,439000,311.510009765625
1990-08-27,2.8125,2.9375,2.8125,2.875,2.875,1163400,321.44000244140625
1990-08-28,2.875,2.875,2.75,2.8125,2.8125,371600,321.3399963378906
1990-08-29,2.75,2.8125,2.625,2.625,2.625,969000,324.19000244140625
1990-08-30,2.625,2.625,2.5625,2.625,2.625,802200,318.7099914550781
1990-08-31,2.625,2.6875,2.5625,2.6875,2.6875,419600,322.55999755859375
1990-09-04,2.6875,2.8125,2.6875,2.8125,2.8125,1069000,323.0899963378906
1990-09-05,2.875,2.9375,2.875,2.9375,2.9375,1142800,324.3900146484375
1990-09-06,2.875,2.9375,2.8125,2.9375,2.9375,407600,320.4599914550781
1990-09-07,2.9375,3.125,2.875,3.125,3.125,559400,323.3999938964844
1990-09-10,3.25,3.25,3.0,3.0,3.0,628400,321.6300048828125
1990-09-11,3.0625,3.0625,2.9375,3.0,3.0,279600,321.0400085449219
1990-09-12,2.75,2.9375,2.75,2.9375,2.9375,1701600,322.5400085449219
1990-09-13,2.9375,2.9375,2.8125,2.9375,2.9375,235800,318.6499938964844
1990-09-14,2.8125,2.875,2.75,2.875,2.875,284800,316.8299865722656
1990-09-17,2.8125,2.875,2.75,2.875,2.875,280600,317.7699890136719
1990-09-18,2.8125,2.8125,2.75,2.8125,2.8125,565200,318.6000061035156
1990-09-19,2.8125,2.875,2.75,2.875,2.875,291800,316.6000061035156
1990-09-20,2.8125,2.8125,2.75,2.8125,2.8125,337200,311.4800109863281
1990-09-21,2.8125,2.8125,2.6875,2.75,2.75,271600,311.32000732421875
1990-09-24,2.75,2.75,2.5625,2.625,2.625,609800,304.5899963378906
1990-09-25,2.5625,2.625,2.5,2.625,2.625,301400,308.260009765625
1990-09-26,2.625,2.6875,2.4375,2.6875,2.6875,1011600,305.05999755859375
1990-09-27,2.75,2.75,2.5625,2.625,2.625,535000,300.9700012207031
1990-09-28,2.5,2.6875,2.4375,2.5625,2.5625,560200,306.04998779296875
1990-10-01,2.625,2.75,2.5625,2.6875,2.6875,500000,314.94000244140625
1990-10-02,2.75,2.875,2.6875,2.6875,2.6875,877200,315.2099914550781
1990-10-03,2.6875,2.75,2.5,2.5,2.5,516000,311.3999938964844
1990-10-04,2.5,2.5,2.375,2.4375,2.4375,544400,312.69000244140625
1990-10-05,2.375,2.5,2.375,2.5,2.5,381400,311.5
1990-10-08,2.5,2.5625,2.25,2.3125,2.3125,916800,313.4800109863281
1990-10-09,2.1875,2.1875,1.875,2.0,2.0,1681600,305.1000061035156
1990-10-10,2.0,2.0625,1.9375,1.9375,1.9375,1215000,300.3900146484375
1990-10-11,1.9375,2.25,1.8125,2.125,2.125,1730600,295.4599914550781
1990-10-12,2.1875,2.1875,1.9375,2.0,2.0,2427800,300.0299987792969
1990-10-15,2.125,2.125,2.0,2.0625,2.0625,739800,303.2300109863281
1990-10-16,2.0,2.0625,1.875,2.0,2.0,445400,298.9200134277344
1990-10-17,1.9375,2.0,1.875,1.875,1.875,353600,298.760009765625
1990-10-18,1.9375,2.0,1.875,1.9375,1.9375,355400,305.739990234375
1990-10-19,2.0,2.0625,1.875,2.0,2.0,551800,312.4800109863281
1990-10-22,2.0,2.0,1.9375,2.0,2.0,408800,314.760009765625
1990-10-23,1.9375,2.0625,1.875,2.0,2.0,224000,312.3599853515625
1990-10-24,2.0625,2.125,2.0,2.0,2.0,227600,312.6000061035156
1990-10-25,2.0625,2.125,2.0,2.0625,2.0625,1082800,310.1700134277344
1990-10-26,2.0625,2.0625,2.0,2.0625,2.0625,210200,304.7099914550781
1990-10-29,2.0625,2.0625,1.9375,2.0,2.0,207400,301.8800048828125
1990-10-30,2.0,2.0,1.9375,2.0,2.0,250600,304.05999755859375
1990-10-31,2.0,2.0625,1.9375,1.9375,1.9375,491200,304.0
1990-11-01,1.9375,2.0,1.9375,1.9375,1.9375,253600,307.0199890136719
1990-11-02,1.875,1.9375,1.875,1.875,1.875,488000,311.8500061035156
1990-11-05,1.9375,1.9375,1.875,1.875,1.875,276400,314.5899963378906
1990-11-06,1.9375,1.9375,1.875,1.875,1.875,337800,311.6199951171875
1990-11-07,1.9375,1.9375,1.875,1.875,1.875,329800,306.010009765625
1990-11-08,1.9375,1.9375,1.875,1.9375,1.9375,252400,307.6099853515625
1990-11-09,1.9375,2.0,1.9375,1.9375,1.9375,406400,313.739990234375
1990-11-12,2.0625,2.375,2.0625,2.3125,2.3125,1856400,319.4800109863281
1990-11-13,2.375,2.375,2.25,2.3125,2.3125,980200,317.6700134277344
1990-11-14,2.3125,2.4375,2.25,2.375,2.375,588200,320.3999938964844
1990-11-15,2.4375,2.4375,2.125,2.125,2.125,1082400,317.0199890136719
1990-11-16,2.125,2.1875,2.125,2.125,2.125,436800,317.1199951171875
1990-11-19,2.1875,2.1875,2.0,2.0625,2.0625,472600,319.3399963378906
1990-11-20,2.125,2.125,2.0,2.0625,2.0625,462200,315.30999755859375
1990-11-21,2.125,2.125,2.0,2.125,2.125,413600,316.0299987792969
1990-11-23,2.125,2.125,2.0,2.0,2.0,197800,315.1000061035156
1990-11-26,2.0,2.0625,2.0,2.0625,2.0625,508200,316.510009765625
1990-11-27,2.0625,2.125,2.0,2.0625,2.0625,298800,318.1000061035156
1990-11-28,2.0625,2.125,2.0,2.125,2.125,387200,317.95001220703125
1990-11-29,2.0625,2.125,2.0,2.0625,2.0625,410200,316.4200134277344
1990-11-30,2.0,2.1875,2.0,2.1875,2.1875,1261000,322.2200012207031
1990-12-03,2.1875,2.1875,2.125,2.1875,2.1875,533800,324.1000061035156
1990-12-04,2.125,2.1875,2.125,2.1875,2.1875,413000,326.3500061035156
1990-12-05,2.1875,2.3125,2.125,2.3125,2.3125,855200,329.9200134277344
1990-12-06,2.375,2.375,2.25,2.25,2.25,972000,329.07000732421875
1990-12-07,2.3125,2.375,2.25,2.3125,2.3125,1314600,327.75
1990-12-10,2.3125,2.5625,2.25,2.5625,2.5625,1892800,328.8900146484375
1990-12-11,2.4375,2.5,2.375,2.4375,2.4375,1100200,326.44000244140625
1990-12-12,2.4375,2.5,2.375,2.4375,2.4375,486200,330.19000244140625
1990-12-13,2.4375,2.4375,2.375,2.4375,2.4375,521000,329.3399963378906
1990-12-14,2.375,2.4375,2.3125,2.4375,2.4375,690000,326.82000732421875
1990-12-17,2.3125,2.625,2.3125,2.4375,2.4375,1382800,326.0199890136719
1990-12-18,2.4375,2.5,2.4375,2.5,2.5,658200,330.04998779296875
1990-12-19,2.4375,2.6875,2.4375,2.625,2.625,1867000,330.20001220703125
1990-12-20,2.5,2.6875,2.5,2.625,2.625,1916200,330.1199951171875
1990-12-21,2.625,2.6875,2.5,2.6875,2.6875,1397600,331.75
1990-12-24,2.625,2.625,2.5,2.5625,2.5625,444200,329.8999938964844
1990-12-26,2.5625,2.625,2.5,2.5625,2.5625,273800,330.8500061035156
1990-12-27,2.5625,2.5625,2.375,2.4375,2.4375,492200,328.2900085449219
1990-12-28,2.4375,2.4375,2.375,2.375,2.375,519600,328.7200012207031
1990-12-31,2.375,2.4375,2.3125,2.4375,2.4375,681400,330.2200012207031
1991-01-02,2.4375,2.625,2.0,2.5,2.5,522000,326.45001220703125
1991-01-03,2.5,2.625,2.5,2.5625,2.5625,973400,321.9100036621094
1991-01-04,2.5625,2.5625,2.5,2.5625,2.5625,328600,321.0
1991-01-07,2.5,2.5625,2.4375,2.5,2.5,437600,315.44000244140625
1991-01-08,2.5,2.5,2.4375,2.5,2.5,310200,314.8999938964844
1991-01-09,2.5,2.5625,2.375,2.375,2.375,851000,311.489990234375
1991-01-10,2.4375,2.5,2.375,2.4375,2.4375,639600,314.5299987792969
1991-01-11,2.5,2.5625,2.4375,2.5,2.5,673400,315.2300109863281
1991-01-14,2.4375,2.4375,2.3125,2.375,2.375,508200,312.489990234375
1991-01-15,2.3125,2.5625,2.3125,2.5625,2.5625,1413400,313.7300109863281
1991-01-16,2.5625,2.75,2.5,2.6875,2.6875,3886800,316.1700134277344
1991-01-17,2.8125,3.0,2.5,2.8125,2.8125,3202800,327.9700012207031
1991-01-18,2.8125,2.875,2.75,2.8125,2.8125,1215800,332.2300109863281
1991-01-21,2.75,2.8125,2.6875,2.8125,2.8125,985000,331.05999755859375
1991-01-22,2.75,3.0,2.75,2.9375,2.9375,2850000,328.30999755859375
1991-01-23,3.0,3.25,2.9375,3.25,3.25,3300600,330.2099914550781
1991-01-24,3.3125,3.4375,3.25,3.4375,3.4375,3126800,334.7799987792969
1991-01-25,3.4375,3.75,3.4375,3.625,3.625,3632400,336.07000732421875
1991-01-28,3.625,3.625,3.375,3.4375,3.4375,1209600,336.0299987792969
1991-01-29,3.4375,3.5,3.375,3.4375,3.4375,588400,335.8399963378906
1991-01-30,3.4375,3.5625,3.4375,3.5,3.5,1348000,340.9100036621094
1991-01-31,3.5,3.625,3.4375,3.625,3.625,1816800,343.92999267578125
1991-02-01,3.625,3.75,3.5625,3.75,3.75,2136400,343.04998779296875
1991-02-04,3.75,4.0625,3.75,4.0625,4.0625,3753400,348.3399963378906
1991-02-05,4.0625,4.125,3.9375,4.0,4.0,3184800,351.260009765625
1991-02-06,4.0,4.0625,3.9375,3.9375,3.9375,1883200,358.07000732421875
1991-02-07,4.0,4.125,4.0,4.0625,4.0625,2210800,356.5199890136719
1991-02-08,4.0,4.0,3.8125,3.9375,3.9375,1380600,359.3500061035156
1991-02-11,3.9375,4.125,3.9375,4.0625,4.0625,1478400,368.5799865722656
1991-02-12,4.0,4.125,3.875,4.0625,4.0625,2472400,365.5
1991-02-13,4.0625,4.125,3.9375,4.0625,4.0625,705000,369.0199890136719
1991-02-14,4.0625,4.0625,3.875,3.875,3.875,1297000,364.2200012207031
1991-02-15,3.9375,4.0,3.875,3.9375,3.9375,656000,369.05999755859375
1991-02-19,3.9375,4.0,3.875,3.9375,3.9375,710000,369.3900146484375
1991-02-20,3.9375,4.0625,3.875,4.0625,4.0625,1898400,365.1400146484375
1991-02-21,4.0625,4.125,3.9375,4.0,4.0,1328200,364.9700012207031
1991-02-22,4.0,4.125,3.75,3.875,3.875,1424200,365.6499938964844
1991-02-25,3.9375,4.0,3.625,3.6875,3.6875,1504200,367.260009765625
1991-02-26,3.6875,3.8125,3.625,3.75,3.75,1517600,362.80999755859375
1991-02-27,3.8125,4.0625,3.75,4.0625,4.0625,1878000,367.739990234375
1991-02-28,4.0625,4.125,3.9375,4.0625,4.0625,1973400,367.07000732421875
1991-03-01,4.0,4.25,3.9375,4.0,4.0,1336800,370.4700012207031
1991-03-04,4.25,4.9375,4.1875,4.625,4.625,7599000,369.3299865722656
1991-03-05,4.6875,5.0625,4.6875,4.875,4.875,5330600,376.7200012207031
1991-03-06,5.0,5.0,4.3125,4.8125,4.8125,4244400,376.1700134277344
1991-03-07,4.8125,4.9375,4.75,4.75,4.75,2358000,375.9100036621094
